Код цифровий,Код літерний,Кількість одиниць валюти / СПЗ,Назва валюти / СПЗ,"Офіційний курс
                для відображення в бухгалтерському обліку, для операцій НБУ з ДКСУ та в інших випадках, визначених законодавством України, без зобов’язань Національного банку України купувати та продавати зазначені валюти за цими курсами"
036,AUD,1,Австралійський долар,"26,5774"
944,AZN,1,Азербайджанський манат,"24,3460"
012,DZD,10,Алжирський динар,"3,1414"
764,THB,10,Бат,"12,5060"
975,BGN,1,Болгарський лев,"24,0419"
410,KRW,100,Вона,"2,9145"
344,HKD,1,Гонконгівський долар,"5,3318"
208,DKK,1,Данська крона,"6,3975"
784,AED,1,Дирхам ОАЕ,"11,2653"
840,USD,1,Долар США,"41,3785"
704,VND,1000,Донг,"1,5982"
978,EUR,1,Євро,"47,7653"
818,EGP,1,Єгипетський фунт,"0,8156"
392,JPY,10,Єна,"2,9391"
985,PLN,1,Злотий,"11,1734"
356,INR,10,Індійська рупія,"4,8604"
124,CAD,1,Канадський долар,"29,9681"
981,GEL,1,Ларі,"15,0643"
422,LBP,100,Ліванський фунт,"0,0462"
458,MYR,1,Малайзійський ринггіт,"9,4683"
484,MXN,1,Мексиканське песо,"2,0981"
498,MDL,1,Молдовський лей,"2,3890"
376,ILS,1,Новий ізраїльський шекель,"11,1885"
554,NZD,1,Новозеландський долар,"24,8664"
578,NOK,1,Норвезька крона,"3,9807"
710,ZAR,1,Ренд,"2,2130"
946,RON,1,Румунський лей,"9,5981"
360,IDR,1000,Рупія,"2,4618"
682,SAR,1,Саудівський ріял,"11,0293"
941,RSD,10,Сербський динар,"4,0716"
702,SGD,1,Сінгапурський долар,"31,7417"
050,BDT,10,Така,"3,3917"
398,KZT,100,Теньге,"7,9563"
788,TND,1,Туніський динар,"13,9538"
949,TRY,1,Турецька ліра,"1,0834"
348,HUF,100,Форинт,"11,7293"
826,GBP,1,Фунт стерлінгів,"55,4327"
203,CZK,1,Чеська крона,"1,9069"
752,SEK,1,Шведська крона,"4,3550"
756,CHF,1,Швейцарський франк,"51,3827"
156,CNY,1,Юань Женьміньбі,"5,6766"
960,XDR,1,СПЗ (спеціальні права запозичення),"56,4532"
